State,Abbreviation,Region,tot1999,tot2000,tot2001,tot2002,tot2003,tot2004,tot2005,tot2006,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,tot2019,tot2020,tot2021,tot2022
Alabama,AL,Southeast,94.544,81.983,83.885,65.294,67.985,69.932,77.044,83.1,91.446,112.649,119.867,116.963,130.49,177.239,195.052,178.355,243.734,153.123,97.751,84.187,160.667,358.234,289.613,249.523
Alaska,AK,West,14.339,12.714,13.039,10.504,11.141,13.026,15.458,16.948,18.339,22.983,23.339,25.72,28.291,35.851,36.678,35.694,37.086,37.491,34.556,32.193,31.943,45.217,40.098,38.136
Arizona,AZ,Southwest,78.103,65.267,63.196,53.833,49.634,56.236,68.553,77.463,73.717,80.623,82.347,89.162,108.245,139.05,138.744,123.375,148.4,166.784,153.522,147.612,158.864,339.487,272.367,239.132
Arkansas,AR,Southeast,50.523,43.458,40.128,30.448,31.43,31.085,33.743,37.171,40.06,49.419,55.239,49.992,54.659,69.481,74.884,60.52,77.394,80.244,72.1,66.321,68.549,132.356,109.413,91.507
California,CA,West,371.893,328.615,280.044,235.121,158.811,177.22,219.76,200.857,195.941,227.528,240.795,245.159,303.169,375.569,407.355,495.962,477.822,560.355,512.465,433.106,432.239,714.441,521.998,465.7
Colorado,CO,West,102.368,118,131.277,66.778,67.461,69.512,75,79.488,84.766,117.975,126.647,130.155,148.975,184.989,213.176,182.498,216.791,242.502,229.708,216.617,210.909,333.076,275.513,241.886
Connecticut,CT,Northeast,22.375,0.008,9.414,24.68,25.588,22.768,24.806,25.726,29.991,37.234,46.464,47.545,49.793,63.57,68.92,78.637,123.507,122.375,71.853,60.63,58.808,76.558,84.167,68.284
Delaware,DE,Northeast,5.979,4.948,5.204,4.767,4.999,4.977,6.21,6.107,6.3,7.822,9.712,9.23,11.126,15.684,19.799,19.31,23.245,25.574,22.308,18.953,20.228,42.941,35.691,27.676
Florida,FL,Southeast,128.773,122.562,141.154,129.72,134.083,144.755,182.793,213.821,236.772,288.165,323.436,332.371,379.889,473.185,503.401,469.636,572.02,662.308,638.938,590.14,608.924,1042.466,855.268,753.761
Georgia,GA,Southeast,106.569,83.738,79.997,68.66,70.067,70.216,78.525,100.961,82.899,105.299,105.011,99.145,116.794,149.486,155.855,145.921,189.445,194.8,172.447,157.027,162.135,364.499,277.764,247.937
Idaho,ID,West,21.584,19.285,17.019,12.94,13.074,13.278,15.32,17.81,20.366,23.542,23.365,23.081,27.967,35.429,37.51,31.731,39.024,46.523,44.939,45.993,50.565,99.243,89.683,76.559
Illinois,IL,Midwest,77.42,60.504,57.953,52.562,53.877,53.904,56.745,60.587,64.374,80.729,99.88,109.204,134.178,181.91,236.374,235.09,252.978,352.411,282.267,259.554,248.616,370.984,342.407,282.847
Indiana,IN,Midwest,31.73,22.982,25.207,19.154,29.773,63.235,63.969,69.885,74.545,94.88,110.487,112.615,136.25,188.98,215.778,205.212,249.169,278.182,249.127,224.264,228.087,370.587,311.13,285.096
Iowa,IA,Midwest,0.649,0.44,0.411,0.283,0.251,0.306,0.296,0.258,0.231,0.355,0.441,0.588,0.995,1.473,2.132,2.13,2.678,2.79,2.376,1.901,2.098,3.31,19.757,34.175
Kansas,KS,Midwest,35.809,29.377,27.427,22.864,23.695,24.008,24.733,34.485,40.613,50.572,59.429,57.808,60.955,82.285,83.208,60.729,76.665,81.116,73.959,65.87,66.735,120.494,97.049,83.066
Kentucky,KY,Southeast,96.183,84.688,82.302,65.82,65.656,67.889,70.894,75.234,77.636,86.095,90.376,84.311,92.936,117.969,122.316,103.09,128.7,140.721,127.24,112.323,126.82,231.291,170.75,139.29
Louisiana,LA,Southeast,70.507,59.327,58.091,50.115,51.998,49.283,75.09,78.149,76.147,94.932,97.99,89.765,101.519,129.806,144.927,127.666,163.856,171.588,138.975,121.441,119.091,223.754,195.686,166.683
Maine,ME,Northeast,12.928,12.055,13.102,12.379,12.532,13.287,13.438,14.263,14.846,18.541,21.341,23.38,27.04,36.602,38.737,32.357,42.604,48.845,40.485,37.05,36.25,62.803,55.153,48.504
Maryland,MD,Northeast,2.054,1.708,1.355,0.65,0.772,2.552,9.591,8.957,22.237,36.916,45.907,39.909,45.851,66.909,132.453,55.012,37.088,52.305,51.873,52.671,43.18,93.594,107.834,117.432
Massachusetts,MA,Northeast,9.504,14.067,15.49,17.775,21.189,20.815,20.581,21.341,22.247,24.184,30.166,33.468,42.506,55.136,61.219,59.663,65.841,75.977,66.966,53.039,50.515,80.609,82.195,67.038
Michigan,MI,Midwest,1.398,0.964,5.213,23.208,27.094,32.59,33.065,28.568,24.619,26.618,25.707,18.523,15.224,21.005,136.643,110.011,141.689,164.878,141.062,123.07,126.582,407.304,345.891,269.891
Minnesota,MN,Midwest,27.953,29.984,28.882,28.026,39.391,38.578,36.959,40.89,44.506,54.59,61.84,58.612,72.073,102.12,124.002,92.969,110.2,133.962,94.383,62.516,105.932,185.17,175.329,138.149
Mississippi,MS,Southeast,66.98,56.142,50.613,36.975,36.612,38.079,45.705,48.789,47.222,54.973,51.789,50.788,56.615,72.957,83.754,78.174,109.994,119.05,103.312,95.091,97.345,182.009,146.886,120.835
Missouri,MO,Midwest,43.744,36.523,35.511,32.075,36.899,44.533,47.532,51.629,81.328,138.874,158.961,149.923,167.789,219.811,240.764,216.695,253.977,274.754,252.709,224.305,218.453,352.292,292.813,251.77
Montana,MT,West,19.448,18.401,17.931,14.595,15.408,15.596,16.161,17.263,19.125,22.71,24.931,25.083,29.416,39.239,39.081,32.607,35.977,37.547,34.444,32.778,34.421,62.188,59.312,53.758
Nebraska,NE,Midwest,0.615,0.393,0.293,0.179,0.169,0.156,0.009,0.011,0.011,0.102,0.135,0.897,1.225,1.206,1.343,1.332,1.809,1.717,1.669,1.461,1.269,2.262,2.499,1.939
Nevada,NV,West,31.387,23.817,24.035,21.956,22.692,23.762,27.382,28.653,29.632,42.766,47.416,46.625,53.246,61.929,59.861,48.428,56.978,66.158,57.524,54.925,58.284,118.618,82.682,68.89
New Hampshire,NH,Northeast,11.799,14.495,15.257,13.637,13.89,13.343,14.565,16.495,18.784,23.478,27.945,28.788,33.604,50.981,56.47,47.546,55.003,68.529,62.28,59.794,58.376,99.054,85.206,74.917
New Jersey,NJ,Northeast,16.176,15.263,13.791,17.647,15.998,14.399,15.541,16.36,16.505,19.042,29.976,25.593,31.163,45.151,66.786,49.91,47.849,70.249,58.989,51.074,48.969,100.125,134.985,100.866
New Mexico,NM,Southwest,35.566,29.382,29.124,22.499,22.599,24.903,27.044,30.287,33.745,40.601,40.84,42.618,46.708,58.155,63.923,58.328,65.666,69.434,70.791,68.549,74.072,107.573,97.795,86.104
New York,NY,Northeast,10.451,9.624,8.629,7.883,8.649,10.349,12.953,28.88,40.064,44.324,54.613,59.848,65.774,82.884,108.508,96.738,107.532,133.285,124.253,108.936,103.076,112.006,128.338,126.97
North Carolina,NC,Southeast,18.324,16.227,13.733,2.097,2.493,1.985,1.948,2.675,2.61,2.77,2.648,3.007,3.703,8.835,10.214,12.049,15.243,16.595,18.131,17.932,19.788,29.763,23.817,22.109
